Time,Amount,Class
0,149.62,0
0,2.69,0
1,378.66,0
1,123.5,0
2,69.99,0
2,3.67,0
4,4.99,0
7,40.8,0
7,93.2,0
9,3.68,0
10,7.8,0
10,9.99,0
10,121.5,0
11,27.5,0
12,58.8,0
12,15.99,0
12,12.99,0
13,0.89,0
14,46.8,0
15,5,0
16,231.71,0
17,34.09,0
18,2.28,0
18,22.75,0
22,0.89,0
22,26.43,0
23,41.88,0
23,16,0
23,33,0
23,12.99,0
24,17.28,0
25,4.45,0
26,6.14,0
26,6.14,0
26,1.77,1
26,1.77,1
27,30.49,1
27,1.8,1
29,20.53,1
29,6.54,1
32,29.89,1
32,2.35,1
33,14.8,1
33,9.1,1
34,15.99,1
34,21.34,1
34,18.95,1
34,9.99,1
35,30.9,1
35,20.22,1
35,0.99,1
36,1402.95,0
36,7.99,0
36,2.09,0
37,0.99,0
38,21.76,0
39,120.96,0
39,13.84,0
40,13.84,0
41,2.67,0
41,169.05,0
41,96.94,0
41,34.13,0
42,32.51,0
42,243.66,0
44,21.55,0
44,59.9,0
44,0.75,0
44,45.71,0
46,35,0
46,67.97,0
46,11.45,0
47,3.63,0
48,21.66,0
48,26.72,0
49,13.18,0
49,59.99,0
49,135.51,0
50,9.79,0
50,14.8,0
51,1.98,0
52,6.67,0
52,1.46,0
53,89.17,0
54,7.53,0
55,200.01,0
55,0.76,0
56,20.22,0
56,10.84,0
59,1142.02,0
59,149.9,0
60,89.4,0
60,26.72,0
62,5.99,0
64,34.7,0
64,54.99,0
64,7.55,0
67,19.85,0
67,28.28,0
68,15.99,0
68,2.69,0
68,22.36,0
69,0.78,0
69,168.56,0
69,0.76,0
69,9.47,0
70,21.8,0
71,14.48,0
73,1,0
73,1,0
73,70.6,0
73,19.77,0
74,1.18,0
74,1.18,0
74,1.18,0
74,1.18,0
75,81.13,0
76,50,0
76,86.43,0
77,11.83,0
77,49.95,0
77,9.12,0
78,104.94,0
78,4.68,0
78,62.92,0
78,18.31,0
79,80,0
80,32.51,0
80,39.95,0
81,68.74,0
82,79,0
82,5.9,0
83,7.69,0
83,79.91,0
83,552.18,0
84,67.3,0
84,21.97,0
84,4.99,0
85,11.99,0
85,124.67,0
87,919.6,0
88,30.9,0
89,459.39,0
89,37.13,0
91,1.98,0
91,15.89,0
92,8.95,0
92,268.78,0
92,2.99,0
93,322.44,0
93,937.69,0
95,69,0
95,2.28,0
95,7.21,0
95,1.29,0
97,17.8,0
98,14.98,0
98,159,0
99,142.71,0
99,84.39,0
100,182.95,0
103,23.27,0
103,9.99,0
103,4.19,0
103,3828.04,0
105,35.97,0
105,1,0
106,24.57,0
107,1,0
108,148.43,0
108,25.8,0
110,110.4,0
110,13.95,0
111,9.99,0
112,937.69,0
112,54.99,0
113,31.17,0
114,23.88,0
114,4.49,0
115,137,0
117,37.89,0
117,82.29,0
118,2.69,0
118,20,0
121,29.99,0
123,40,0
123,160.86,0
124,8.93,0
124,6.24,0
124,230,0
125,43.71,0
125,165.55,0
125,113,0
127,1.54,0
128,10,0
128,8.8,0
130,5.97,0
130,15.93,0
131,10,0
132,3.87,0
132,10,0
133,35.97,0
135,22.37,0
135,4.57,0
135,23.57,0
136,13.99,0
137,226.07,0
138,148.81,0
139,58,0
140,1.29,0
140,65,0
140,11,0
140,257.3,0
140,169,0
141,9.9,0
142,9.99,0
142,4.9,0
143,39.95,0
144,15.36,0
145,9.9,0
145,6,0
145,6,0
145,6.74,0
145,6.74,0
147,170.43,0
147,0.89,0
150,0.89,0
152,614.87,0
153,22.99,0
153,71.26,0
154,127.69,0
154,1.98,0
155,6.45,0
155,1.29,0
156,184.31,0
156,500,0
156,10,0
158,1.79,0
158,10,0
160,20,0
160,700,0
162,22,0
164,2.28,0
164,65.26,0
164,0.99,0
167,1,0
167,44.2,0
167,5.42,0
168,42.9,0
169,355.51,0
171,0.89,0
171,71.69,0
172,2.29,0
172,1.29,0
179,27.99,0
180,23.63,0
180,48,0
181,318.5,0
181,6.47,0
183,224.97,0
183,75.83,0
184,1.98,0
184,1.98,0
185,4.65,0
187,23.32,0
188,8.09,0
190,82.29,0
190,99.95,0
190,20,0
190,127.75,0
190,20.7,0
192,1.79,0
193,37.2,0
194,1,0
194,32.77,0
194,5.99,0
196,0.89,0
196,63.9,0
199,6.45,0
199,61.18,0
199,9.99,0
200,196.7,0
200,79,0
204,137.3,0
204,39.94,0
204,1.98,0
205,12.99,0
206,153.91,0
206,101,0
206,10.27,0
209,8.97,0
